metric,median,mean,std,min,max
gini_commits,0.6303030303030303,0.5679645745926609,0.2424122176977728,0.0,0.9071180682666823
hhi_commits,0.349413988657845,0.4354139916082662,0.27996085383269753,0.044456762128719796,1.0
top1_share,0.5116279069767442,0.5541744527698766,0.25657496570239285,0.11347517730496454,1.0
top5_share,0.9555555555555556,0.8893336436456926,0.14251643022623392,0.37019400352733683,1.0
top10_share,1.0,0.9557339493191079,0.0813716855418616,0.573015873015873,1.0
bus_factor_80pct,3.0,4.072463768115942,3.802993162444054,1.0,22.0
n_authors,9.0,17.991304347826087,22.945649503611097,1.0,100.0
total_commits,145.0,987.5565217391304,3063.6711548723974,1.0,28113.0
